System time: 0 | Packet number: 2 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 5 | Pitch: 245 | Height: 0
Packet number: 3 | Type: 10 | Motor1: 40 | Motor2: 40 | Motor3: 40 | Motor4: 40
Packet number: 65421 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65423 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65425 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65427 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65429 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65431 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65433 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65435 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65437 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65439 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65441 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65443 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65445 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65447 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65449 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65451 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65453 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65455 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65457 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65459 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65461 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65463 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65465 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65467 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65469 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65471 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65473 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65475 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65477 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65479 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65481 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65483 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65485 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65487 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65489 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65491 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65493 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65495 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
System time: 0 | Packet number: 65497 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 65498 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65500 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65502 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65504 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65506 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65508 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65510 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65512 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65514 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65516 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65518 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65520 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65522 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65524 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65526 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65528 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65530 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65532 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 65534 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 256 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 258 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 260 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 262 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 264 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 266 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 268 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 270 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 272 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 274 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 276 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 278 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 280 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 282 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 284 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 286 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 288 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 290 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 292 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 294 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 296 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 298 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 300 | Type: 10 | Motor1: 149 | Motor2: 210 | Motor3: 149 | Motor4: 17
Packet number: 302 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 304 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 306 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 308 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 310 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 312 | Type: 10 | Motor1: 149 | Motor2: 208 | Motor3: 149 | Motor4: 33
Packet number: 314 | Type: 10 | Motor1: 149 | Motor2: 206 | Motor3: 149 | Motor4: 44
Packet number: 316 | Type: 10 | Motor1: 149 | Motor2: 206 | Motor3: 149 | Motor4: 44
System time: 0 | Packet number: 318 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 319 | Type: 10 | Motor1: 149 | Motor2: 202 | Motor3: 149 | Motor4: 60
Packet number: 321 | Type: 10 | Motor1: 149 | Motor2: 202 | Motor3: 149 | Motor4: 60
Packet number: 323 | Type: 10 | Motor1: 149 | Motor2: 202 | Motor3: 149 | Motor4: 60
Packet number: 325 | Type: 10 | Motor1: 149 | Motor2: 200 | Motor3: 149 | Motor4: 67
Packet number: 327 | Type: 10 | Motor1: 149 | Motor2: 198 | Motor3: 149 | Motor4: 73
Packet number: 329 | Type: 10 | Motor1: 149 | Motor2: 196 | Motor3: 149 | Motor4: 79
Packet number: 331 | Type: 10 | Motor1: 149 | Motor2: 196 | Motor3: 149 | Motor4: 79
Packet number: 333 | Type: 10 | Motor1: 149 | Motor2: 191 | Motor3: 149 | Motor4: 89
Packet number: 335 | Type: 10 | Motor1: 149 | Motor2: 191 | Motor3: 149 | Motor4: 89
Packet number: 337 | Type: 10 | Motor1: 149 | Motor2: 187 | Motor3: 149 | Motor4: 98
Packet number: 339 | Type: 10 | Motor1: 149 | Motor2: 187 | Motor3: 149 | Motor4: 98
Packet number: 341 | Type: 10 | Motor1: 149 | Motor2: 187 | Motor3: 149 | Motor4: 98
Packet number: 343 | Type: 10 | Motor1: 149 | Motor2: 175 | Motor3: 149 | Motor4: 117
Packet number: 345 | Type: 10 | Motor1: 149 | Motor2: 134 | Motor3: 149 | Motor4: 163
Packet number: 347 | Type: 10 | Motor1: 149 | Motor2: 131 | Motor3: 149 | Motor4: 165
Packet number: 349 | Type: 10 | Motor1: 149 | Motor2: 131 | Motor3: 149 | Motor4: 165
Packet number: 351 | Type: 10 | Motor1: 149 | Motor2: 128 | Motor3: 149 | Motor4: 168
Packet number: 353 | Type: 10 | Motor1: 149 | Motor2: 117 | Motor3: 149 | Motor4: 175
Packet number: 355 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 357 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 359 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 361 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 363 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 365 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 367 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 369 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 371 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 373 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 375 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 377 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 379 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 381 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 383 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65409 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65411 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65413 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65415 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65417 | Type: 10 | Motor1: 149 | Motor2: 114 | Motor3: 149 | Motor4: 178
Packet number: 65419 | Type: 10 | Motor1: 149 | Motor2: 117 | Motor3: 149 | Motor4: 175
Packet number: 65421 | Type: 10 | Motor1: 149 | Motor2: 117 | Motor3: 149 | Motor4: 175
Packet number: 65423 | Type: 10 | Motor1: 149 | Motor2: 121 | Motor3: 149 | Motor4: 173
Packet number: 65425 | Type: 10 | Motor1: 149 | Motor2: 121 | Motor3: 149 | Motor4: 173
Packet number: 65427 | Type: 10 | Motor1: 149 | Motor2: 124 | Motor3: 149 | Motor4: 170
Packet number: 65429 | Type: 10 | Motor1: 149 | Motor2: 128 | Motor3: 149 | Motor4: 168
Packet number: 65431 | Type: 10 | Motor1: 149 | Motor2: 131 | Motor3: 149 | Motor4: 165
Packet number: 65433 | Type: 10 | Motor1: 149 | Motor2: 131 | Motor3: 149 | Motor4: 165
Packet number: 65435 | Type: 10 | Motor1: 149 | Motor2: 134 | Motor3: 149 | Motor4: 163
Packet number: 65437 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65439 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65441 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65443 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65445 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65447 | Type: 10 | Motor1: 149 | Motor2: 137 | Motor3: 149 | Motor4: 160
Packet number: 65449 | Type: 10 | Motor1: 149 | Motor2: 140 | Motor3: 149 | Motor4: 157
Packet number: 65451 | Type: 10 | Motor1: 149 | Motor2: 140 | Motor3: 149 | Motor4: 157
Packet number: 65453 | Type: 10 | Motor1: 149 | Motor2: 140 | Motor3: 149 | Motor4: 157
Packet number: 65455 | Type: 10 | Motor1: 149 | Motor2: 143 | Motor3: 149 | Motor4: 155
Packet number: 65457 | Type: 10 | Motor1: 149 | Motor2: 143 | Motor3: 149 | Motor4: 155
System time: 0 | Packet number: 65459 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 65460 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65462 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65464 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65466 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65468 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65470 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65472 | Type: 10 | Motor1: 149 | Motor2: 146 | Motor3: 149 | Motor4: 152
Packet number: 65474 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65476 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65478 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65480 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65482 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65484 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65486 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65488 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65490 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65492 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65494 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65496 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65498 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65500 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65502 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65504 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65506 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65508 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65510 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65512 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65514 | Type: 10 | Motor1: 152 | Motor2: 149 | Motor3: 146 | Motor4: 149
Packet number: 65516 | Type: 10 | Motor1: 155 | Motor2: 149 | Motor3: 143 | Motor4: 149
Packet number: 65518 | Type: 10 | Motor1: 155 | Motor2: 149 | Motor3: 143 | Motor4: 149
Packet number: 65520 | Type: 10 | Motor1: 157 | Motor2: 149 | Motor3: 140 | Motor4: 149
Packet number: 65522 | Type: 10 | Motor1: 160 | Motor2: 149 | Motor3: 137 | Motor4: 149
Packet number: 65524 | Type: 10 | Motor1: 160 | Motor2: 149 | Motor3: 137 | Motor4: 149
Packet number: 65526 | Type: 10 | Motor1: 163 | Motor2: 149 | Motor3: 134 | Motor4: 149
Packet number: 65528 | Type: 10 | Motor1: 165 | Motor2: 149 | Motor3: 131 | Motor4: 149
Packet number: 65530 | Type: 10 | Motor1: 165 | Motor2: 149 | Motor3: 131 | Motor4: 149
Packet number: 65532 | Type: 10 | Motor1: 165 | Motor2: 149 | Motor3: 131 | Motor4: 149
Packet number: 65534 | Type: 10 | Motor1: 168 | Motor2: 149 | Motor3: 128 | Motor4: 149
Packet number: 512 | Type: 10 | Motor1: 170 | Motor2: 149 | Motor3: 124 | Motor4: 149
Packet number: 514 | Type: 10 | Motor1: 170 | Motor2: 149 | Motor3: 124 | Motor4: 149
Packet number: 516 | Type: 10 | Motor1: 173 | Motor2: 149 | Motor3: 121 | Motor4: 149
Packet number: 518 | Type: 10 | Motor1: 175 | Motor2: 149 | Motor3: 117 | Motor4: 149
Packet number: 520 | Type: 10 | Motor1: 175 | Motor2: 149 | Motor3: 117 | Motor4: 149
Packet number: 522 | Type: 10 | Motor1: 178 | Motor2: 149 | Motor3: 114 | Motor4: 149
Packet number: 524 | Type: 10 | Motor1: 180 | Motor2: 149 | Motor3: 110 | Motor4: 149
Packet number: 526 | Type: 10 | Motor1: 189 | Motor2: 149 | Motor3: 93 | Motor4: 149
Packet number: 528 | Type: 10 | Motor1: 191 | Motor2: 149 | Motor3: 89 | Motor4: 149
Packet number: 530 | Type: 10 | Motor1: 191 | Motor2: 149 | Motor3: 89 | Motor4: 149
Packet number: 532 | Type: 10 | Motor1: 198 | Motor2: 149 | Motor3: 73 | Motor4: 149
